id,vid,token,vtoken,lctoken,freq,loglik,logfreq,llrank,freqrank,idbrac10,idbrac50,idbrac100,vidbrac10,vidbrac50,vidbrac100,freqbrac10,freqbrac50,freqbrac100,llbrac10,llbrac50,llbrac100
154,154,think,think,think,1,-8.64,0.0,98,98,5,26,53,5,26,53,6,32,65,6,32,65
154,"", ,"","",0,"",-Infinity,"","",5,26,53,0,0,0,0,0,0,0,0,0
155,155,it,it,it,11,-211.44,2.3978952727983707,65,102,5,27,54,5,27,54,6,34,68,4,21,43
155,"", ,"","",0,"",-Infinity,"","",5,27,54,0,0,0,0,0,0,0,0,0
156,156,so,so,so,3,-45.5,1.0986122886681098,84,135,5,27,54,5,27,54,9,45,90,5,28,56
156,"","
","","",0,"",-Infinity,"","",5,27,54,0,0,0,0,0,0,0,0,0
157,157,VERY,VERY,very,4,-74.39,1.3862943611198906,93,140,5,27,54,5,27,54,9,46,93,6,31,62
157,"", ,"","",0,"",-Infinity,"","",5,27,54,0,0,0,0,0,0,0,0,0
158,158,much,much,much,1,-13.82,0.0,18,99,5,27,55,5,27,55,6,33,66,1,6,12
158,"", ,"","",0,"",-Infinity,"","",5,27,55,0,0,0,0,0,0,0,0,0
159,159,out,out,out,3,-55.04,1.0986122886681098,90,129,5,27,55,5,27,55,8,43,86,6,30,60
159,"", ,"","",0,"",-Infinity,"","",5,27,55,0,0,0,0,0,0,0,0,0
160,160,of,of,of,8,-132.92,2.0794415416798357,22,146,5,27,55,5,27,55,9,48,97,1,7,14
160,"", ,"","",0,"",-Infinity,"","",5,27,55,0,0,0,0,0,0,0,0,0
161,161,the,the,the,15,-264.07,2.70805020110221,70,103,5,28,56,5,28,56,6,34,68,4,23,46
161,"", ,"","",0,"",-Infinity,"","",5,28,56,0,0,0,0,0,0,0,0,0
162,162,way,way,way,1,-17.08,0.0,48,61,5,28,56,5,28,56,4,20,40,3,16,32
162,"", ,"","",0,"",-Infinity,"","",5,28,56,0,0,0,0,0,0,0,0,0
163,163,to,to,to,9,-158.44,2.1972245773362196,32,150,5,28,56,5,28,56,10,50,100,2,10,21
163,"", ,"","",0,"",-Infinity,"","",5,28,56,0,0,0,0,0,0,0,0,0
164,164,hear,hear,hear,1,-8.64,0.0,102,100,5,28,57,5,28,57,6,33,66,6,34,68
164,"", ,"","",0,"",-Infinity,"","",5,28,57,0,0,0,0,0,0,0,0,0
165,165,the,the,the,15,-264.07,2.70805020110221,70,103,5,28,57,5,28,57,6,34,68,4,23,46
165,"", ,"","",0,"",-Infinity,"","",5,28,57,0,0,0,0,0,0,0,0,0
166,166,Rabbit,Rabbit,rabbit,6,-110.09,1.791759469228055,7,142,5,29,58,5,29,58,9,47,94,0,2,4
166,"", ,"","",0,"",-Infinity,"","",5,29,58,0,0,0,0,0,0,0,0,0
167,167,say,say,say,1,-8.64,0.0,103,95,5,29,58,5,29,58,6,31,63,6,34,68
167,"", ,"","",0,"",-Infinity,"","",5,29,58,0,0,0,0,0,0,0,0,0
168,168,to,to,to,9,-158.44,2.1972245773362196,32,150,5,29,58,5,29,58,10,50,100,2,10,21
168,"", ,"","",0,"",-Infinity,"","",5,29,58,0,0,0,0,0,0,0,0,0
169,169,itself,itself,itself,1,-8.64,0.0,104,91,5,29,59,5,29,59,6,30,60,6,34,69
169,"",", '","","",0,"",-Infinity,"","",5,29,59,0,0,0,0,0,0,0,0,0
170,170,Oh,Oh,oh,2,-35.88,0.6931471805599453,79,105,5,29,59,5,29,59,7,35,70,5,26,52
170,"", ,"","",0,"",-Infinity,"","",5,29,59,0,0,0,0,0,0,0,0,0
